"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Sdr: Residual","Tke: Residual"
1.0,1.0,1.527110086895205E-4,3.2307507708822733E-4,0.21393206236405654,9.752385920265165E-5,1.0
2.0,0.3251805461566811,1.0,1.0,1.0,1.0,0.883142309315624
3.0,0.12961509754970113,0.5631005056740658,0.5416041627063068,0.5999053880896261,0.6259023406047566,0.5046090939381461
4.0,0.11731346751152405,0.4236811532613799,0.3904686735189929,0.2906088049898038,0.3915552628360682,0.26366641813005076
5.0,0.11576409805232592,0.36036324969598976,0.3344735320181537,0.16038584948932355,0.24537055249472806,0.1415616158945837
6.0,0.10102571002901892,0.3258892182271021,0.290394176699628,0.14793452694751635,0.15225254993004264,0.07948260810603411
7.0,0.08467805573094038,0.3016017969911334,0.2459457197359925,0.14550615120106766,0.09304605864704563,0.05815226979288786
8.0,0.06904546462033236,0.2764912985929908,0.21731073617625943,0.14402018832543745,0.05605078248307378,0.049070748238427525
9.0,0.054851734460655076,0.25185936243532697,0.19164221188369202,0.13915193211512603,0.03438777314048779,0.043938954470171335
10.0,0.045537034023491366,0.23152699456402126,0.16887346568544467,0.13332923975216568,0.021415428108083827,0.04017578098708507
11.0,0.0402954628255926,0.21930454773534275,0.15030603350368926,0.13006150836036837,0.013405895638507402,0.03702230390880287
12.0,0.03761107929313117,0.2106435174531305,0.13573093129479136,0.1275531264167576,0.008307716333443786,0.03423947039747744
13.0,0.03422329095680418,0.20301448412175252,0.12583283161936898,0.12487048275895585,0.0050481864703993285,0.031714765317456
14.0,0.0321375242895292,0.19490036433706293,0.1168877607301706,0.1226492400273726,0.0029933794791136884,0.029393796208693854
15.0,0.028920631096647408,0.18706571305700542,0.1101349553557151,0.12049179726011412,0.0018051342834247588,0.02724564435909568
16.0,0.026657787991882002,0.17863449266555867,0.10320219131659085,0.1183227309140019,0.0011815453095424865,0.02525441059884787
17.0,0.024109715049603485,0.17113098646202324,0.09708466121453863,0.11608388527322029,8.081122109802882E-4,0.023410545186592774
18.0,0.02276197235851337,0.1639404617140104,0.09082385087515144,0.11394728230801743,5.524768159821137E-4,0.02170367963560248
19.0,0.021839538861441948,0.1579423572609514,0.08556755047875425,0.1121281929227496,3.7397450520394536E-4,0.020124356607582602
20.0,0.020769498735759666,0.15258505034113615,0.08145763117457203,0.11007250830912331,2.5649430807964655E-4,0.01866341628201089
21.0,0.020175065056622442,0.14806714771089252,0.07796645872208731,0.10813355802150547,1.882179459027822E-4,0.017312635397322237
22.0,0.019741758482049097,0.14362009791890995,0.07459174334458085,0.10597898578935444,1.4053709291285884E-4,0.016064223769036767
23.0,0.018730609192452025,0.1399941704859849,0.07171951214776516,0.10404142019145453,1.0589071999116875E-4,0.01491114480655963
24.0,0.018340494618232207,0.13665636644968746,0.06939372729369644,0.10201931829776476,5.643837411921494E-5,0.013846739928276858
25.0,0.018571925987247915,0.13295107098598138,0.06630595036179954,0.09987532016672222,2.8566991550285547E-5,0.012864672397697053
26.0,0.01817233316827882,0.12937660335202988,0.06337705830335061,0.0978393046086681,1.8989576565559077E-5,0.01195910878599412
27.0,0.0176794112291415,0.12585375273118085,0.060728476173867264,0.0960583606845956,1.3094674811037543E-5,0.011124060769744495
28.0,0.01679847438586677,0.12262073464565754,0.05846879163827549,0.09425160515675664,9.47160738819007E-6,0.01035449043836186
29.0,0.016633834285037726,0.11934857562742318,0.05631613628308792,0.09241750006215355,7.299437284853145E-6,0.009644530562444563
30.0,0.015948354285365195,0.11646219729190359,0.05438514534942781,0.09080370868536682,5.7887536105065626E-6,0.008988623818337494
31.0,0.01588850638725547,0.11381386659358628,0.052775057265797246,0.0896069048697768,4.757931785043909E-6,0.008381809539125843
32.0,0.015282217313311214,0.11165595430121936,0.051402439034925855,0.08853986658756559,2.5660243721557825E-6,0.007821415460068069
33.0,0.015238772678526106,0.10966633382607784,0.05029660614739959,0.0878498740346577,1.981640973158501E-6,0.007305464276285146
34.0,0.014679493614069295,0.10818389218935107,0.04929481023176665,0.08726282103563428,1.5745264578636298E-6,0.006830875659123375
35.0,0.014678383067150623,0.10679694709046143,0.04839851329487867,0.08698583419089896,1.2219237581761705E-6,0.006397887886892398
36.0,0.014476197738301382,0.105692545962893,0.04770673427448716,0.08681264852794367,7.221368585349871E-7,0.006005301949237047
37.0,0.01382467049886955,0.104726548470781,0.047043902977332505,0.08671659555837524,4.7192873840710854E-7,0.0056496962917073614
38.0,0.013462578428063,0.1038807601747869,0.046451022255778476,0.08668641227096671,3.657087886585551E-7,0.005331394340095611
39.0,0.013121693036098682,0.10305307898456123,0.045887106667379156,0.08666778966995133,3.688162337335075E-7,0.005052712729599643
40.0,0.012845823781422051,0.10232084075417668,0.045349107386187096,0.0866111030210067,4.1277868242915226E-7,0.004811818773054694
41.0,0.012645484696681326,0.10162027599348579,0.04482440274250945,0.08649538455546382,4.69582837844638E-7,0.004606639214712342
42.0,0.012510313054913364,0.10097810328553206,0.044303692666722586,0.08625033769501393,5.694010951987528E-7,0.0044378920327694926
43.0,0.012432101440274491,0.1003396195004084,0.04378154768178411,0.08585678564231156,8.031461268715725E-7,0.00429956545941491
44.0,0.012349567398458208,0.09963040206101119,0.04326240818224457,0.08527238324961536,1.4102228466377723E-6,0.004192489769690086
45.0,0.012257508689805768,0.0988019960662265,0.04276063145598727,0.08447799897289567,2.5034949921805445E-6,0.004103146533371087
46.0,0.01203778108355945,0.09783691056851689,0.042239513082938336,0.08344482685593967,2.8790626851606285E-6,0.004027048376961955
47.0,0.011922016344715949,0.0965262733764542,0.041698000906581566,0.08224430700480581,2.1064303519761656E-6,0.003947332996915087
48.0,0.011798720312367172,0.09503191101331682,0.041122074846232,0.0807925492445668,1.7417594942923191E-6,0.0038684035552201614
49.0,0.011795668802301923,0.09309971958317564,0.040495279684156824,0.07918996914166576,1.6582304133215525E-6,0.0037662120817255544
50.0,0.01162115893961808,0.09083692970912928,0.03981863375027378,0.07749325789714132,2.028542709251212E-6,0.003662136837007056
51.0,0.011479384371318783,0.08831996496892142,0.039048211661993536,0.07569641133977846,2.9445751005491107E-6,0.0035558666094459065
52.0,0.011458223580854741,0.08556006574167481,0.03818111010405537,0.07381216716395606,4.489535151445453E-6,0.0034636724990084813
53.0,0.011222597270228202,0.08277182989006017,0.03720615729139841,0.0719407815342884,8.740383054133903E-6,0.003385053342458453
54.0,0.011300051588672321,0.08005947716952984,0.03606304944206056,0.07006527307787958,1.9056561108582075E-5,0.0033284911338547427
55.0,0.010793878789253376,0.07767788981402161,0.03490209508090943,0.06824123044448173,3.406885555158923E-5,0.0032910714044474755
