"Iteration","Chassis_SCD Monitor: Chassis_SCD Monitor","Chassis_SCL Monitor: Chassis_SCL Monitor","FW_SCD Monitor: FW_SCD Monitor","FW_SCL Monitor: FW_SCL Monitor","Front_Wheel_SCD Monitor: Front_Wheel_SCD Monitor","Front_Wheel_SCL Monitor: Front_Wheel_SCL Monitor","Front_sus_SCD Monitor: Front_sus_SCD Monitor","Front_sus_SCL Monitor: Front_sus_SCL Monitor","Full_SCD Monitor: Full_SCD Monitor","Full_SCL Monitor: Full_SCL Monitor","RW_SCD Monitor: RW_SCD Monitor","RW_SCL Monitor: RW_SCL Monitor","Rear_Wheel_SCD Monitor: Rear_Wheel_SCD Monitor","Rear_Wheel_SCL Monitor: Rear_Wheel_SCL Monitor","Rear_sus_SCD Monitor: Rear_sus_SCD Monitor","Rear_sus_SCL Monitor: Rear_sus_SCL Monitor","SW_SCD Monitor: SW_SCD Monitor","SW_SCL Monitor: SW_SCL Monitor"
1.0,1.8891932144438393,-0.4872910532706262,0.5548379164832484,-0.448659038280946,0.7124461454247999,-0.5795032538651396,0.1139909529820545,-0.0013050996787437104,6.630066122904244,-3.805548743535296,1.3714763195058939,-0.9876723008516818,0.6704763464956162,-0.5198384869245789,0.13912935691791742,-0.008236877646261671,1.1785158706508754,-0.7730426330173182
2.0,1.0337204022664688,-0.05712680510792994,0.31632353022292203,-0.1668451002120344,0.3562558563651264,-0.5745678467263413,0.06322112458351047,3.72388605395809E-4,3.6602882233158835,-2.0061570752179563,0.7786062352881087,-0.38761339711201537,0.36048220163089506,-0.5653369775605764,0.08005452652610381,-0.007947722531985207,0.6716243464327484,-0.247091614572469
3.0,0.412794673869901,0.38182030774626813,0.12739474497383413,-0.015245309395983639,0.1600427613026209,-0.18796220354361,0.029643883999067974,0.0021969257588578604,1.5021974907597229,0.2335769801764072,0.36187514181839103,-0.11919212376837657,0.1600031826229549,-0.21416965631425192,0.042314103793285,-0.0010889015904986738,0.20812899837966792,0.3872179412840021
4.0,0.2944877586704322,-0.14662430412644298,0.07872392976837386,-0.0473256956547965,0.08655285309025204,-0.038865290158570154,0.015870249359969234,-7.132874307450242E-5,0.9719210295049443,-0.6122392059382519,0.20429246886893146,-0.13092007649390344,0.08304851494031876,-0.027074985002546122,0.01989416864131098,-0.0017747322455015097,0.18905108616535557,-0.21958279351341664
5.0,0.14269931551168796,-0.05660644763047051,0.04969275163338084,-0.047137444612644575,0.035444374927777966,0.00680043046344413,0.007677691339916134,5.2292473461477875E-5,0.4845935248456574,-0.26310337666791805,0.11429714845526658,-0.08017082154830538,0.03113551465002589,0.010361858592298738,0.009731104931393435,-2.457480442841056E-4,0.09391562339620863,-0.0961574963614178
6.0,0.08981533162401474,-0.02768247110098036,0.0339238141914046,-0.0374979359654618,0.01542065127023274,0.018280699999269092,0.002889366154860551,-2.8686617345281526E-5,0.3007051033277298,-0.1580204534165381,0.07625580374573196,-0.05723840514028186,0.016900413707913283,0.022788618650540406,0.0045524120882454635,-1.6000051779083358E-4,0.060947310545326504,-0.07648227272448745
7.0,0.06405298653536759,-0.08393619963245597,0.03183103914203605,-0.052168557079239404,0.008599930948277556,0.042893570554672425,0.0012633490207604942,-2.8920298400319567E-4,0.23718511210048326,-0.23960506354173583,0.06342096447104126,-0.06484080753984303,0.0012309302074685882,0.04699726456537877,0.001569509503682669,-1.2833083110090008E-7,0.06521640227184904,-0.12826100309541436
8.0,0.05522232839015068,-0.08120282453450686,0.027928053362879932,-0.04966781094785731,0.0049858767009227775,0.038302784686095125,6.402428627305535E-4,-2.327451790187154E-4,0.2046958763848295,-0.240453277564692,0.05561991423961399,-0.062337941346299906,-0.0010451660079882023,0.04343488185956919,6.12364149258306E-4,-1.1724567578052978E-4,0.06073226268726147,-0.12863237642689304
9.0,0.05553634505629426,-0.04610158715944763,0.023470343041216646,-0.041302929598526286,0.004975998972424032,0.017025826713376786,4.576621820214671E-4,9.368733011088131E-6,0.1953158191147105,-0.20649127534237588,0.054458899315671605,-0.06099679571090501,0.0012363150950918116,0.022465755305026796,5.829026386255457E-4,-2.897262540066541E-4,0.05459735281336513,-0.09730118737090494
10.0,0.05126871972497851,-0.045236694885978534,0.02208889709728451,-0.041447244004945386,0.005178341298909463,0.006954901764145302,5.20146856885982E-4,3.4058842537780596E-5,0.185811677486184,-0.227021567635181,0.0531596942059105,-0.06408040327472384,3.250442184606272E-4,0.011264362619060404,6.087562596082422E-4,-4.502961988229957E-4,0.05266207782414617,-0.0940602524964537
