"Iteration","Chassis_SCD Monitor: Chassis_SCD Monitor","Chassis_SCL Monitor: Chassis_SCL Monitor","FW_SCD Monitor: FW_SCD Monitor","FW_SCL Monitor: FW_SCL Monitor","Front_Wheel_SCD Monitor: Front_Wheel_SCD Monitor","Front_Wheel_SCL Monitor: Front_Wheel_SCL Monitor","Front_sus_SCD Monitor: Front_sus_SCD Monitor","Front_sus_SCL Monitor: Front_sus_SCL Monitor","Full_SCD Monitor: Full_SCD Monitor","Full_SCL Monitor: Full_SCL Monitor","RW_SCD Monitor: RW_SCD Monitor","RW_SCL Monitor: RW_SCL Monitor","Rear_Wheel_SCD Monitor: Rear_Wheel_SCD Monitor","Rear_Wheel_SCL Monitor: Rear_Wheel_SCL Monitor","Rear_sus_SCD Monitor: Rear_sus_SCD Monitor","Rear_sus_SCL Monitor: Rear_sus_SCL Monitor","SW_SCD Monitor: SW_SCD Monitor","SW_SCL Monitor: SW_SCL Monitor"
1.0,0.378821040719497,0.006044636276570668,0.16855761903279132,0.018652449387046615,0.08555308201897753,-3.1168256134779286E-6,0.012024215135505101,2.5634529606738136E-5,1.3487481071174632,0.08387816862170844,0.33159691918788564,0.04387277747461028,0.08554634308337913,-3.455019206298785E-6,0.017751289970558547,-1.0321875641288418E-4,0.26889759796886903,0.015392461555106785
2.0,0.8933703362663621,-0.036199192429740665,0.2980248884547058,-0.11598613252886927,0.3137742840966533,-1.1957819314865995E-4,0.06633056192823068,-6.695477048655563E-5,3.2137899797876788,-0.5020578037805647,0.6821841545322187,-0.260445012234186,0.3135846850547376,-1.3545344672271075E-4,0.08368015314785815,6.486889112493658E-4,0.5628409163069126,-0.08975416908866035
3.0,0.8929814520487053,-0.03868426965348485,0.29278319814281956,-0.1203356900806374,0.3229172343504936,-1.7282028885248378E-4,0.06774803341247493,-7.515045411610156E-5,3.218864594851075,-0.5224933966226801,0.6752371813745125,-0.27078825165067105,0.32271579460515953,-1.9573062505127368E-4,0.08524750554299271,6.787777316383667E-4,0.5592341953739172,-0.09292026160150532
4.0,0.8858215718391786,-0.04042097567219281,0.2862855511750126,-0.12268986260406878,0.32774169545787735,-2.0666600015854857E-4,0.06837141751385899,-8.333841763405479E-5,3.1980787319714707,-0.5341398486625839,0.6643541055510621,-0.27661122291469586,0.32753049282173163,-2.3651291134294027E-4,0.08586342765252182,6.971198252855793E-4,0.5521104699602276,-0.09458838996777662
5.0,0.8696812206204662,-0.041376214382500276,0.27773160661616714,-0.12290093018537163,0.32757114834821466,-2.2790135104450117E-4,0.06807920190078583,-9.141590393193281E-5,3.1435495120801544,-0.5363244063668263,0.6477806881691894,-0.2775255189549479,0.3273606927395789,-2.631994151821216E-4,0.08537061442248758,7.028422996387449E-4,0.5399743392632647,-0.09464206847348663
6.0,0.8442794200560185,-0.041526264148078744,0.26710043785441906,-0.12088034146449084,0.3222452635531894,-2.405199182298183E-4,0.066838700186774,-9.932614921759812E-5,3.0543901424835758,-0.5287475496636194,0.6254479212478059,-0.2733716656046608,0.3220484507505238,-2.7824344029488726E-4,0.08373001183809477,6.950630182173186E-4,0.52269993699675,-0.09304625195686403
7.0,0.8099474884371516,-0.04085619746760815,0.25451541175685455,-0.1167034741485266,0.31188034754533533,-2.496441718415311E-4,0.06467706415086615,-1.0662549601153756E-4,2.9319001918620957,-0.51175262937079,0.5976767449932023,-0.2643498463884034,0.31171029887336194,-2.8571137386053657E-4,0.08097409921517068,6.739125203979071E-4,0.5005187368901536,-0.08987504284493618
8.0,0.7675408281474947,-0.03939616317331,0.2401962901354993,-0.11060018446954044,0.29690644855116893,-2.5918440796027757E-4,0.06167514560530855,-1.1263799546650935E-4,2.779295354435453,-0.48627624682257975,0.565051905070073,-0.250955775671982,0.2967761575205832,-2.8903224981560434E-4,0.07720176292727808,6.407143957624535E-4,0.4739468164780472,-0.08530398325026717
9.0,0.7183414633616593,-0.03725209498774869,0.22453153648101726,-0.10290588299339937,0.27805319640801185,-2.7557403481128217E-4,0.05795317583677809,-1.1697736118382235E-4,2.6016702019208626,-0.4537081140005128,0.5285380076946455,-0.23388913129386607,0.2779705503459675,-2.9537802206025966E-4,0.07255740590503676,5.97645044531418E-4,0.4437248658877465,-0.07957072035197468
10.0,0.6646381748803997,-0.03446865982715521,0.20795426617536278,-0.09401198516374834,0.25631592313741675,-2.873148137138263E-4,0.05367102583390071,-1.1896624775123076E-4,2.4066781874100056,-0.4156505939249739,0.4892104130088104,-0.21404233766863567,0.2562861806487737,-2.9197481958265437E-4,0.06724677826105817,5.466440816780325E-4,0.4113554254642832,-0.072975999466065
