"Iteration","Tdr: Residual","Tke: Residual","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,0.018780385894317065,0.8747344388719374,1.0,0.12667590921365693,0.02144335540067826,0.8185397775621052
2.0,0.8904385890659834,1.0,0.9513779431781308,0.3857526533386339,0.34839250805239763,0.8761622306077045
3.0,1.0,0.7687234297477169,0.9116383791686085,0.6513054794809335,0.6141936970977157,0.925108845584038
4.0,0.6120673082585503,0.5860840761983207,0.8757483126289686,0.8487417995284187,0.8257262000546735,0.9660390629985467
5.0,0.8024733161615699,0.4403440250250185,0.8366428792532168,1.0,1.0,1.0
6.0,0.6632834061364643,0.32421836271423515,0.7927785178951506,1.1118535804230316,1.1378753198661444,1.0257019298865953
7.0,0.5288661782707844,0.231950496275267,0.743623022881641,1.1850610471014213,1.2400253468858198,1.0413583504799167
8.0,0.41851486075176897,0.15922497790950732,0.6895034377669292,1.2182887399028994,1.305090072047902,1.0450170679235966
9.0,0.3291107874015158,0.10291166451728002,0.6320369212619877,1.2188843105018135,1.3338805445959052,1.0353010535660727
10.0,0.25742486068772713,0.06234233573613762,0.5740913968092787,1.195054924311114,1.3283552279683233,1.0118961061751717
11.0,0.20055010140845447,0.042073478876027706,0.5192892780750276,1.1522514784344646,1.2936344345080355,0.9762650002300534
12.0,0.1557249230596195,0.0335841207019141,0.4721136899762063,1.0974042231289005,1.2385454263817148,0.9308000609205168
13.0,0.12058549367501047,0.0289467251291916,0.43682471679929047,1.0419737311377462,1.1756946000722657,0.8793399895453419
14.0,0.0931693821427154,0.02517419564219988,0.4151762301179783,1.0089985844687588,1.1107656269587227,0.8278065170321239
15.0,0.07186542028559846,0.021665889874544753,0.4046524630724618,1.0134917882048882,1.0506100545143844,0.779722931995717
16.0,0.055366617563951274,0.01841586367699764,0.4004141180245569,1.0530668311433853,0.9973258870557826,0.7359095730663123
17.0,0.04262337320633572,0.015471484223754167,0.395983685182764,1.1060625154370947,0.9565923165256001,0.6948588437031136
18.0,0.032800369212370235,0.012844277422380925,0.3876038004304016,1.1643204916696714,0.9293358348859236,0.6546761946555973
19.0,0.02524130419068048,0.010521784949662093,0.37329492591113617,1.2164441606793428,0.9279680898262771,0.6126385785798223
20.0,0.019431073849216444,0.008448919928364057,0.3526001915102688,1.2364706819079148,0.9429090120297577,0.5669155334534748
21.0,0.014967385919740313,0.006669819040102748,0.32975495356019957,1.2225871509097934,0.9550505040747571,0.5237801953951666
22.0,0.011538903055544353,0.0051954525267704,0.3054750335268156,1.183059256924629,0.9576633929433414,0.48249648907981646
23.0,0.008905195451711234,0.004002288834956544,0.28014600138152607,1.141363502516975,0.9545488001176128,0.4425007852355053
24.0,0.006881436446261154,0.0030515394169094412,0.2542137502043867,1.1223713975222644,0.9277002606299203,0.40342626272058374
25.0,0.005383764693457352,0.0026643528136552387,0.22989266806953668,1.1273993435916823,0.8908971224547336,0.3665546159070431
26.0,0.0035413902152971756,0.0026763395480816888,0.20734082076854385,1.167832988457948,0.8569955308360234,0.33186667018372157
27.0,0.0027692064911042824,0.0013688926236188582,0.18673562579428107,1.2332517842461348,0.8229425284812327,0.30086888517765176
28.0,0.0010720846068804665,9.642844874686085E-4,0.1675889068973316,1.3114493870876445,0.7876063383083732,0.27241382280421245
29.0,3.063313164748176E-4,0.0026119086767367504,0.14985723222007952,1.3919298926742736,0.7507980226364548,0.24675499361793837
30.0,8.681483563901509E-4,7.617826097588063E-4,0.1337581718578715,1.4667724236452075,0.7125509879870073,0.22405370619961787
31.0,3.9878558088536913E-4,8.510312957300015E-4,0.1191928634933165,1.534421235752693,0.6742334162839567,0.20413305351362065
32.0,4.299448828878919E-4,8.902419689613731E-4,0.10598156097589845,1.5864006085919289,0.6362834345521858,0.18658472949156646
33.0,6.486200886777042E-4,8.623506026527353E-4,0.09404287016296996,1.6331862288251249,0.5983345393773731,0.1710054046338738
34.0,8.116453328490933E-4,7.79998538799794E-4,0.08330159703101121,1.6745055826176525,0.5598888447311616,0.15705687196001833
35.0,8.420772402204856E-4,6.915547138115954E-4,0.07370372175831769,1.712561366622635,0.5218724917765792,0.1444892227654384
36.0,7.167163372741904E-4,6.033957860410828E-4,0.06522183610196078,1.7493763572143595,0.4858246969954228,0.133095953536119
