"Iteration","Sdr: Residual","Tke: Residual","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,0.010560436400569657,1.0,1.0,0.10504584406619097,0.018016947787039207,0.7915026465771655
2.0,0.9999999999999999,0.639570821412022,0.9281108868046125,0.3914047659867231,0.36359974064095696,0.8580917817844405
3.0,0.6222865210016355,0.4091274182606885,0.8749431958381838,0.6620398026257844,0.6337041466730249,0.9145004707804912
4.0,0.38689553344974487,0.26164666975186324,0.8333834862025877,0.8553131169308024,0.8380545701226108,0.9611524995774425
5.0,0.24091560540131476,0.16728543154149927,0.7936193057284892,1.0,1.0,1.0
6.0,0.1479983596196913,0.1069569570603089,0.7529710109084857,1.101182958610542,1.1232487834006104,1.0299302414641305
7.0,0.08899078699732468,0.06847098202981845,0.7097641458698402,1.1623336918807958,1.2118222217304053,1.0492916799265373
8.0,0.05236146655165166,0.04397839921816976,0.6633959314744378,1.1844331817463556,1.2666291030605645,1.0563801359573077
9.0,0.03161531502556448,0.028397783442297746,0.6139191166902604,1.1722958868129363,1.289348516029663,1.0495768448631126
10.0,0.019487369774803854,0.018542553661673275,0.562937245938831,1.1357063449960065,1.2824803860404552,1.0284705661849312
11.0,0.012082291511496443,0.012390716536397967,0.513020038160966,1.0839878058999284,1.2513718722358471,0.9939379823048432
12.0,0.007364325874949317,0.008647260072117155,0.4676646802951295,1.0262683464942262,1.204409990404127,0.9481478753874892
13.0,0.004344084910099784,0.0064583959228340405,0.43088423315341895,0.973729318773869,1.1478179307390743,0.8950350497600867
14.0,0.002451476109534892,0.005231168086841117,0.4054277785835196,0.9448203549203831,1.0850507771392723,0.8392568866718303
15.0,0.0014164062644516802,0.004547882376163354,0.3913725251795344,0.9505350074170812,1.0224195225730026,0.785576735074312
16.0,8.656661863702328E-4,0.004140639926797265,0.38517770881129987,0.9800461852816834,0.9643036955526018,0.7364044852051718
17.0,5.27266242712567E-4,0.0038636251598113463,0.38061346316644407,1.02884229862336,0.9196462773422648,0.6921158196591268
18.0,4.498345699557264E-4,0.0036448841354243897,0.37409129341007147,1.0925592893786518,0.9011072138536538,0.6514551986349387
19.0,5.335763473016793E-4,0.003451869886882073,0.36402964729876963,1.150044936035116,0.9117120581908208,0.6135763931439474
20.0,5.074351365018973E-4,0.0032710326804692527,0.34536755808704994,1.1784072269836676,0.9344162806557096,0.5699198346208811
21.0,4.134140868087776E-4,0.003097022646727017,0.3237122197234412,1.1744421222741608,0.9566598342380973,0.5279751509622309
22.0,3.0980163849874293E-4,0.0029280898520682237,0.30076607699460667,1.1454963941129404,0.9675415658117689,0.4886040397362193
23.0,2.2635433063276274E-4,0.0027639120436556077,0.2771500153472787,1.1129612788718786,0.9675183495704353,0.450967346355058
24.0,1.6802482258679758E-4,0.0026047202880159714,0.2521369469083113,1.1054836600550686,0.9513382877764329,0.4133833435566226
25.0,1.2989625572266375E-4,0.0024508751156439848,0.2274315828940024,1.1317152549439302,0.9202311825056875,0.37683870383074736
26.0,9.87307187334006E-5,0.002302735581211449,0.20505777613528345,1.18894024601772,0.8903260551791891,0.34305039470738685
27.0,3.9311538083202815E-5,0.00216065499826011,0.18451277648568254,1.2678700972183845,0.8606015984048111,0.3113295244273791
28.0,3.396618159674042E-5,0.002024874259184745,0.16603350631519082,1.3552585241109047,0.8277931260493467,0.283360724717596
29.0,5.017183671156838E-5,0.001895539761560507,0.14903506570443822,1.440854352702301,0.7933868669072023,0.2581268113092459
30.0,5.023770266279524E-5,0.0017726981065075576,0.13330942248504474,1.5211143019838083,0.7574445410846182,0.23520487113428476
31.0,4.196863484738905E-5,0.0016563236204369563,0.11904734357456853,1.5934459639726706,0.720660731576658,0.21481007861751925
32.0,3.527467084510295E-5,0.0015463373693348284,0.10610368488570462,1.6524424946684777,0.6832280840988013,0.1967059875735979
33.0,3.134941567870257E-5,0.0014426074485978894,0.09437942925590755,1.7025403485140618,0.6444247811914819,0.18060327807794743
34.0,2.884886300852023E-5,0.0013449620368045684,0.08380075134844997,1.7481201884602027,0.6047841510020396,0.16618093901171058
35.0,2.7154704357863926E-5,0.0012531963056994604,0.07431939303593049,1.7929173806731653,0.5649830893188184,0.15314820679252794
36.0,2.6001487403266802E-5,0.0011670833579238943,0.06586604690472328,1.8353332791607864,0.5262225397785502,0.14128926021792207
37.0,2.3350979992338657E-5,0.0010863809700260092,0.05838437665328487,1.8826831382579337,0.4896023624265146,0.1304540510148293
38.0,2.003327803497674E-5,0.001010837431945286,0.05181920651791668,1.93134006403215,0.45571408940593144,0.12056237310473866
39.0,2.3742885734515572E-5,9.401976901579793E-4,0.046082906505847,1.9783213240153155,0.4254497633857791,0.11153969934994384
40.0,3.121405093249799E-5,8.742054291417339E-4,0.041084855364262395,2.019594975878296,0.3998345208656499,0.10333214404611535
41.0,3.490449145695513E-5,8.126078644793179E-4,0.0367418970021235,2.0477509552555424,0.37964953500650533,0.09591158043797975
42.0,3.269298452977819E-5,7.55160181630855E-4,0.03296146477981373,2.054664392785331,0.3651495072018531,0.08925910119087097
43.0,2.713957444873189E-5,7.016293325411116E-4,0.029647118231071024,2.0338600757014094,0.35600115341574834,0.08333718503197676
44.0,2.143001144759946E-5,6.517923804353696E-4,0.026732587187251727,1.982370074570234,0.35102970855615995,0.07812072301856225
45.0,1.673931897106331E-5,6.054345150846565E-4,0.024174761517869986,1.9002305631508674,0.3486565606588058,0.07357563917062042
46.0,1.336611796793056E-5,5.623554516150386E-4,0.021930764557153166,1.7911789425340492,0.34754727628197624,0.069651716055701
